"tasks"
"1",1
"2",4
"3",6
"4",5
"5",6
"6",4
"7",5
"8",4
"9",6
"10",5
"11",4
"12",4
"13",4
"14",6
"15",5
"16",4
"17",5
"18",5
"19",2
"20",6
"21",4
"22",5
"23",2
"24",4
"25",6
"26",4
"27",6
"28",3
"29",4
"30",5
"31",4
"32",5
"33",4
"34",5
"35",5
"36",3
"37",4
"38",5
"39",6
"40",3
"41",5
"42",3
"43",5
"44",5
"45",5
"46",5
"47",5
"48",4
"49",5
"50",3
"51",6
"52",5
"53",6
"54",5
"55",5
"56",6
"57",5
"58",5
"59",5
"60",5
"61",4
"62",6
"63",4
"64",2
"65",5
"66",4
"67",3
"68",5
"69",5
"70",6
"71",3
"72",5
"73",6
"74",5
"75",6
"76",4
"77",5
"78",5
"79",5
"80",4
"81",5
"82",1
"83",6
"84",5
"85",5
"86",4
"87",5
"88",5
"89",3
"90",6
"91",5
"92",5
"93",4
"94",6
"95",2
"96",3
"97",5
"98",1
"99",2
"100",3
"101",6
"102",5
"103",5
"104",4
"105",6
"106",5
"107",3
"108",6
"109",5
"110",4
"111",6
"112",5
"113",6
"114",6
"115",6
"116",5
"117",4
"118",5
"119",5
"120",6
"121",5
"122",5
"123",5
"124",3
"125",5
"126",5
"127",6
"128",4
"129",5
"130",6
"131",5
"132",1
"133",5
"134",4
"135",5
"136",4
"137",5
"138",5
"139",4
"140",4
"141",3
"142",5
"143",4
"144",4
"145",4
"146",6
"147",4
"148",3
"149",5
"150",1
"151",3
"152",5
"153",6
"154",5
"155",5
"156",5
"157",5
"158",4
"159",6
"160",2
"161",1
"162",5
"163",3
"164",5
"165",2
"166",5
"167",1
"168",1
"169",5
"170",6
"171",5
"172",5
"173",5
"174",4
"175",5
"176",3
"177",5
"178",4
"179",5
"180",5
"181",4
"182",4
"183",6
"184",4
"185",4
"186",5
"187",1
"188",4
"189",6
"190",2
"191",5
"192",5
"193",5
"194",6
"195",5
"196",3
"197",5
"198",6
"199",6
"200",1
