Parameters: -a 4.6 -t 4.6 -u 4.6

Pesos:0
-nan -nan 
-nan -nan 
-nan -nan 
-nan -nan 
-nan -nan 
-nan -nan 
-nan -nan 
-nan -nan 
-nan -nan 


Predictions: 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
-1.00000 -1.00000 
