0	0.00000002	0.00003787	0.00000185
1	0.00000006	0.00000184	0.00000165
2	0.00000004	0.00000181	0.00000174
3	0.00000007	0.00000231	0.00000176
4	0.00000005	0.00000177	0.00000176
5	0.00000007	0.00000195	0.00000183
6	0.00000009	0.00000180	0.00000174
7	0.00000004	0.00000175	0.00000180
8	0.00000008	0.00000218	0.00001264
9	0.00000008	0.00000242	0.00000427
10	0.00000009	0.00000199	0.00000283
11	0.00000011	0.00000414	0.00000264
12	0.00000013	0.00006964	0.00001965
13	0.00000011	0.00000955	0.00000182
14	0.00000010	0.00000267	0.00000179
15	0.00000012	0.00000202	0.00000192
16	0.00000013	0.00014758	0.00016564
17	0.00000012	0.00001351	0.00000258
18	0.00000009	0.00002760	0.00010960
19	0.00000013	0.00001605	0.00000630
20	0.00000012	0.00004527	0.00006658
21	0.00000010	0.00000195	0.00000179
22	0.00000013	0.00000183	0.00000230
23	0.00000012	0.00000182	0.00000174
24	0.00000013	0.00000208	0.00000212
25	0.00000016	0.00000177	0.00000172
26	0.00000013	0.00011788	0.00018138
27	0.00000022	0.00000236	0.00000200
28	0.00000008	0.00000191	0.00000200
29	0.00000014	0.00000327	0.00000195
30	0.00000014	0.00000416	0.00000178
31	0.00000016	0.00000247	0.00000456
32	0.00000023	0.00000179	0.00000183
33	0.00000006	0.00000199	0.00000249
34	0.00000020	0.00000182	0.00000182
35	0.00000020	0.00000180	0.00000215
36	0.00000016	0.00000174	0.00000177
37	0.00000018	0.00000175	0.00000227
38	0.00000021	0.00000172	0.00000173
39	0.00000020	0.00000169	0.00000173
40	0.00000015	0.00007676	0.00003699
41	0.00000028	0.00011874	0.00010007
42	0.00000022	0.00000199	0.00000244
43	0.00000024	0.00000175	0.00000178
44	0.00000025	0.00010208	0.00002904
45	0.00000013	0.00000199	0.00000191
46	0.00000014	0.00000268	0.00000189
47	0.00000017	0.00000195	0.00000193
48	0.00000032	0.00000185	0.00000181
49	0.00000024	0.00000197	0.00000180
50	0.00000025	0.00000175	0.00000176
51	0.00000023	0.00000197	0.00000218
52	0.00000040	0.00018695	0.00003552
53	0.00000029	0.00001556	0.00000182
54	0.00000027	0.00002631	0.00003692
55	0.00000027	0.00000856	0.00000261
56	0.00000025	0.00000191	0.00000181
57	0.00000031	0.00000474	0.00000185
58	0.00000026	0.00000239	0.00000202
59	0.00000025	0.00000185	0.00000189
60	0.00000026	0.00013009	0.00012732
61	0.00000018	0.00000327	0.00000292
62	0.00000030	0.00000184	0.00000188
63	0.00000035	0.00000230	0.00000193
64	0.00000001	0.00000205	0.00000200
65	0.00000033	0.00000241	0.00000191
66	0.00000035	0.00000184	0.00000189
67	0.00000033	0.00000181	0.00000229
68	0.00000029	0.00000237	0.00000181
69	0.00000032	0.00006954	0.00011704
70	0.00000021	0.00000189	0.00000252
